LI-8250,LI-8250,LI-8250,LI-8250,CHAMBER,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-8250,LI-7820,LI-7820,LI-870,LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,FLUX_LI-7820,CHAMBER,CHAMBER
DATE,TIME,DOY,PORT,H,V,LATITUDE,LONGITUDE,TA,PA,N2O_DRY,H2O,CO2_DRY,H2O,FCO2,FCO2_dCdt,FCO2_CV,FCO2_R2,FCO2_SEI,FCO2_SES,FCO2_A,FCO2_Cx,FCO2_C0,FCO2_T0,FCO2_ITER,FCO2_N,FN2O,FN2O_dCdt,FN2O_CV,FN2O_R2,FN2O_SEI,FN2O_SES,FN2O_A,FN2O_Cx,FN2O_C0,FN2O_T0,FN2O_ITER,FN2O_N,SWC_1,TS_1
[YYYYMMDD],[HHMMSS],[#],[#],[#],[#],[degrees],[degrees],[C],[kPa],[nmol+1mol-1],[mmol+1mol-1],[umol+1mol-1],[mmol+1mol-1],[umol+1m-2s-1],[umol+1mol-1s-1],[#],[#],[#],[#],[#],[umol+1mol-1],[umol+1mol-1],[s],[#],[#],[nmol+1m-2s-1],[nmol+1mol-1s-1],[#],[#],[#],[#],[#],[nmol+1mol-1],[nmol+1mol-1],[s],[#],[#],[m+3m-3],[C]
20250414,000051,104.001,1,1,1,39.6685,-75.7462,4.69,101.235,347.692,7.06933,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0236999,0.00253883,42.5783,0.0524525,0,0.00108066,0.000132317,366.88,347.692,-15.7757,5,101,0.28,8.51542
20250414,000702,104.005,2,1,1,39.6685,-75.7462,4.55,101.245,349.128,6.96976,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-0.00796178,-0.000848355,157.431,0.00405926,0,0.00133554,2.42992e-06,0,349.128,417.067,2,101,0.323,8.9
20250414,001314,104.009,3,1,1,39.6685,-75.7462,4.33,101.252,353.335,6.68802,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0283391,0.00289537,37.3791,0.0275888,0,0.00108183,0.00195539,354.816,353.335,-50,3,101,0.336702,9.1
20250414,001925,104.013,4,1,1,39.6686,-75.7462,3.83,101.25,351.769,6.63632,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0960051,0.00999206,11.0305,0.0518837,0,0.0010971,0.013361,352.517,351.769,-39.911,7,101,0.285,8.9
20250414,002536,104.018,5,1,1,39.6685,-75.7462,2.96,101.256,352.219,6.66966,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.00534194,0.000544281,206.955,0.0023529,0,0.0011264,5.44473e-10,1e+06,352.219,-169.656,3,101,0.367,10
20250414,003147,104.022,6,1,1,39.6685,-75.7462,2.99,101.257,350.468,6.52299,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-0.0180897,-0.00187663,66.2549,0.0324332,0,0.0012432,0.000123298,335.248,350.468,50,4,101,0.355806,9.54925
20250414,003758,104.026,7,1,1,39.6686,-75.7462,3.38,101.248,347.878,6.66173,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-4.86926e-05,-5.05948e-06,20725.6,2.25281e-07,0,0.00104861,1.45439e-08,0,347.878,-27627.1,5,101,0.344,9.7
20250414,004409,104.031,8,1,1,39.6685,-75.7462,3.12,101.247,348.4,6.5474,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.0012862,0.000129962,1003.37,0.000100322,0,0.001304,1.30007e-10,1e+06,348.4,3434.6,10,101,0.242,9.3
20250414,010051,104.042,1,1,1,39.6685,-75.7462,3.22,101.23,349.438,6.48809,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.129366,0.0137771,9.1068,0.0352225,0,0.00124617,0.0187143,350.174,349.438,-27.7784,7,101,0.28,8.2
